iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression_inlier,r2_orthogonal_inlier,mse_regression_inlier,mse_orthogonal_inlier,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,1,0,1,1,3.05476e-32,-3.27717e-16,1,1,3.05476e-32,-3.27717e-16,8.38817
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,2,0,1,1,2.24579e-32,9.89833e-17,1,1,2.24579e-32,9.89833e-17,8.29252
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,3,0,1,1,5.85857e-19,7.4056e-16,1,1,5.85857e-19,7.4056e-16,1.51766
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,1,0,1,1,5.76361e-32,2.98261e-16,1,1,5.76361e-32,2.98261e-16,7.35881
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,2,0,1,1,3.18563e-30,2.77944e-16,1,1,3.18563e-30,2.77944e-16,7.08978
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,3,0,1,1,2.75712e-18,1.93179e-16,1,1,2.75712e-18,1.93179e-16,0.689396
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,1,0,1,1,5.93017e-32,1.91291e-16,1,1,5.93017e-32,1.91291e-16,7.82986
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,2,0,1,1,5.44083e-32,-4.06675e-16,1,1,5.44083e-32,-4.06675e-16,7.86152
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,3,0,1,1,5.32268e-17,9.92539e-17,1,1,5.32268e-17,9.92539e-17,0.860891
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,1,0,1,1,2.11703e-31,-1.3578e-16,1,1,2.11703e-31,-1.3578e-16,9.1718
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,2,0,1,1,6.82087e-33,1.01807e-16,1,1,6.82087e-33,1.01807e-16,9.38766
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,3,0,1,1,2.38526e-26,2.22822e-16,1,1,2.38526e-26,2.22822e-16,0.910939
5,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,1,0,1,1,4.53749e-31,-2.76918e-16,-0.0330761,0.338784,1.98903,1.9,6.37141
5,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,2,0,1,1,1.09464e-31,1.04961e-16,-0.0330761,0.338784,1.98903,1.9,9.22011
5,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,3,0,0.507368,0.978047,0.0212951,0.0212017,-0.00511306,0.32949,1.93519,1.92671,1.4341
6,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,1,1,0,1,1,6.43519e-31,1.33107e-16,-0.943317,0.38244,2.71475,1.6,6.59146
6,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,1,2,0,1,1,4.56576e-31,1.14902e-16,-0.943317,0.38244,2.71475,1.6,7.6355
6,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,1,3,0,-0.296172,0.474701,0.551846,0.544647,0.0363486,0.487185,1.34619,1.32862,2.75348
7,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,1,0,1,1,6.50803e-32,-5.2867e-16,-0.27046,0.639984,0.945977,0.589203,11.8247
7,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,2,0,1,1,1.18779e-31,-5.03775e-16,-0.27046,0.639984,0.945977,0.589203,6.79576
7,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,3,0,0.735101,0.912598,0.102582,0.0897434,0.0503433,0.622016,0.707109,0.61861,1.5208
8,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,1,1,0,1,1,2.26992e-31,8.57157e-18,-0.118154,0.644507,0.846072,0.561845,6.1589
8,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,1,2,0,1,1,2.2182e-31,1.07757e-17,-0.118154,0.644507,0.846072,0.561845,5.93593
8,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,1,3,0,0.815312,0.946829,0.0647435,0.0554849,0.0691013,0.618054,0.704382,0.603652,1.67932
9,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,1,0,-114954,-4.96549,6.25032,6.25,-1.90748,-1.20806,9.15047,9.15,10.7803
9,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,2,0,-114954,-4.96549,6.25032,6.25,-1.90748,-1.20806,9.15047,9.15,6.35826
9,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,3,0,-38.721,0.997939,0.0021597,0.00215898,0.000160402,0.240891,3.14672,3.14567,1.33511
10,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,1,1,0,-21.8288,-4.57678,10.8585,6.25,-6.83219,-1.32287,16.7439,9.6375,7.17547
10,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,1,2,0,-21.8288,-4.57678,10.8585,6.25,-6.83219,-1.32287,16.7439,9.6375,6.18764
10,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,1,3,0,-1.669,0.125903,1.26951,0.979616,0.249196,0.701477,1.60509,1.23856,1.94534
11,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,1,0,1,1,3.73133e-32,-2.94022e-16,-0.165214,0.496829,1.21522,1.0262,8.37586
11,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,2,0,1,1,7.54536e-33,-2.94e-16,-0.165214,0.496829,1.21522,1.0262,7.167
11,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,3,0,0.343654,0.898606,0.109502,0.108756,-0.00433801,0.489916,1.04744,1.0403,2.04624
12,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,1,1,0,1,1,4.38298e-32,2.60632e-17,-0.148979,0.503724,1.20093,0.962079,9.06474
12,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,1,2,0,1,1,8.10582e-32,9.36469e-18,-0.148979,0.503724,1.20093,0.962079,8.71376
12,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,1,3,0,0.471502,0.896871,0.101184,0.0992754,0.00151705,0.471813,1.04363,1.02394,2.6919
13,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,1,0,0.940432,0.988305,0.0145134,0.0104071,0.940432,0.988305,0.0145134,0.0104071,14.204
13,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,2,0,0.941423,0.988396,0.014272,0.0103258,0.941423,0.988396,0.014272,0.0103258,10.3111
13,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,3,0,0.94325,0.988538,0.0138268,0.0101996,0.94325,0.988538,0.0138268,0.0101996,1.21467
14,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,1,1,0,0.933211,0.988973,0.0141476,0.0116311,0.933211,0.988973,0.0141476,0.0116311,15.3216
14,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,1,2,0,0.934079,0.989096,0.0139639,0.0115009,0.934079,0.989096,0.0139639,0.0115009,17.211
14,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,1,3,0,0.93618,0.989624,0.0135188,0.0109442,0.93618,0.989624,0.0135188,0.0109442,1.82888
15,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,1,0,0.962116,0.990678,0.0176465,0.00956838,0.962116,0.990678,0.0176465,0.00956838,11.2643
15,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,2,0,0.961702,0.990663,0.0178394,0.00958388,0.961702,0.990663,0.0178394,0.00958388,14.1274
15,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,3,0,0.963217,0.990728,0.017134,0.00951735,0.963217,0.990728,0.017134,0.00951735,1.0693
16,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,1,1,0,0.937626,0.990396,0.0112268,0.00911387,0.937626,0.990396,0.0112268,0.00911387,12.1545
16,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,1,2,0,0.937404,0.990318,0.0112666,0.00918826,0.937404,0.990318,0.0112666,0.00918826,11.2505
16,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,1,3,0,0.938453,0.990429,0.0110778,0.00908271,0.938453,0.990429,0.0110778,0.00908271,1.20475
17,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,0,1,0,0.947138,0.988449,0.0142584,0.00953137,-0.844892,0.295832,2.95232,1.97356,9.12993
17,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,0,2,0,0.946599,0.988511,0.0144036,0.00947995,-0.872947,0.296152,2.99722,1.97266,8.15164
17,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,0,3,0,-1.3363,0.330072,0.630166,0.552802,0.145295,0.571894,1.36776,1.19984,3.15786
18,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,1,1,0,0.925357,0.989301,0.0122487,0.0103735,-0.293546,0.336519,2.24869,1.90442,10.884
18,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,1,2,0,0.921949,0.988687,0.012808,0.0109686,-0.2788,0.33674,2.22305,1.90379,11.2003
18,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,1,1,3,0,-0.698167,0.718145,0.278665,0.273284,0.0445506,0.432519,1.66094,1.62887,1.4741
19,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,0,1,0,0.906669,0.989557,0.0116797,0.0102248,-0.0961773,0.576915,0.785162,0.687358,8.50644
19,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,0,2,0,0.906891,0.989525,0.0116519,0.0102563,-0.0904094,0.576839,0.781031,0.687483,10.849
19,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,0,3,0,0.667198,0.95876,0.0416479,0.0403804,-0.000223161,0.57244,0.716433,0.694629,1.78443
20,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,1,1,0,0.957561,0.988847,0.0203984,0.0110019,-0.518395,0.613864,1.10213,0.594436,8.25304
20,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,1,2,0,0.959428,0.989607,0.0195009,0.0102526,-0.560444,0.613178,1.13265,0.595492,9.92081
20,100,0.1,0.2,100,1,500,2,1,0.1,0.3,2.5,0,1,3,0,0.548589,0.80165,0.216972,0.195664,0.034439,0.589447,0.700853,0.632024,2.13182
