iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression_inlier,r2_orthogonal_inlier,mse_regression_inlier,mse_orthogonal_inlier,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,1,0,1,1,3.22324e-33,-3.45328e-16,1,1,3.22324e-33,-3.45328e-16,4.67905
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,2,0,1,1,1.80398e-32,-3.68865e-16,1,1,1.80398e-32,-3.68865e-16,6.41802
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,3,0,1,1,4.71963e-19,7.58366e-16,1,1,4.71963e-19,7.58366e-16,1.00539
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,1,0,1,1,1.96334e-31,3.00593e-16,1,1,1.96334e-31,3.00593e-16,6.52983
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,2,0,1,1,1.77512e-31,3.01037e-16,1,1,1.77512e-31,3.01037e-16,7.10088
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,3,0,1,1,2.84236e-18,-3.44835e-16,1,1,2.84236e-18,-3.44835e-16,0.905777
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,1,0,1,1,2.73775e-32,1.82854e-16,1,1,2.73775e-32,1.82854e-16,6.71513
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,2,0,1,1,1.14154e-32,2.17715e-16,1,1,1.14154e-32,2.17715e-16,6.53288
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,3,0,1,1,2.60821e-26,1.28453e-16,1,1,2.60821e-26,1.28453e-16,0.906087
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,1,0,1,1,1.12282e-30,2.33369e-16,1,1,1.12282e-30,2.33369e-16,7.44564
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,2,0,1,1,1.26233e-32,-7.9492e-17,1,1,1.26233e-32,-7.9492e-17,6.62185
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,3,0,1,1,3.24517e-26,3.73812e-16,1,1,3.24517e-26,3.73812e-16,0.755249
5,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,1,0,1,1,1.0168e-30,-5.18528e-16,-0.0441418,0.369108,1.97594,1.8875,5.68686
5,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,2,0,1,1,1.13106e-32,-3.18115e-17,-0.0441418,0.369108,1.97594,1.8875,4.72384
5,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,3,0,0.438242,0.974933,0.0284955,0.0284086,-0.00593353,0.365655,1.90364,1.89783,0.956051
6,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,1,1,0,1,1,3.89813e-32,-3.26527e-16,-1.03616,0.370962,3.22376,1.9,4.74352
6,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,1,2,0,1,1,9.37219e-32,-3.68639e-16,-1.03616,0.370962,3.22376,1.9,5.85129
6,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,1,3,0,-0.571204,0.381801,0.759078,0.727337,0.0597623,0.527761,1.48864,1.42639,1.19833
7,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,1,0,1,1,6.48501e-32,-5.08153e-16,-0.381914,0.617145,0.962302,0.599372,6.14361
7,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,2,0,1,1,1.20174e-31,-4.78461e-16,-0.381914,0.617145,0.962302,0.599372,5.4613
7,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,0,3,0,0.656682,0.882711,0.123631,0.111989,0.0250923,0.607191,0.678881,0.614954,1.37959
8,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,1,1,0,1,1,2.7485e-31,1.93399e-17,-0.460986,0.589526,0.996969,0.66205,5.2166
8,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,1,2,0,1,1,1.17806e-29,1.19357e-16,-0.460986,0.589526,0.996969,0.66205,4.90191
8,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,0,1,3,0,0.547602,0.855867,0.139565,0.132362,0.00132853,0.599282,0.681488,0.646313,1.01298
9,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,1,0,-123154,-5.391,6.25032,6.25,-2.10296,-1.3591,9.90051,9.9,6.84223
9,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,2,0,-123154,-5.391,6.25032,6.25,-1.82088,-1.14464,9.00047,9,4.46413
9,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,0,3,0,-239.953,0.987569,0.0122287,0.0121572,0.0025519,0.246063,3.18252,3.16391,0.921143
10,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,1,1,0,-25.4488,-5.4611,10.8585,6.25,-6.74044,-1.26097,15.8318,9.1125,4.24733
10,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,1,2,0,-25.4488,-5.4611,10.8585,6.25,-6.74044,-1.26097,15.8318,9.1125,5.09238
10,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,1,1,3,0,-1.76969,0.109794,1.13709,0.86112,0.285605,0.725446,1.46118,1.10655,1.22712
11,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,1,0,1,1,2.75569e-32,-1.76801e-16,-0.273971,0.476816,1.22591,1.03523,5.3138
11,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,2,0,1,1,1.64791e-32,-1.76775e-16,-0.273971,0.476816,1.22591,1.03523,4.89743
11,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,0,3,0,-0.118001,0.826201,0.170885,0.170788,0.00336008,0.515594,0.95904,0.958497,1.13849
12,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,1,1,0,1,1,3.04668e-30,-2.84581e-16,-0.231983,0.51215,1.27197,1.01899,4.97516
12,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,1,2,0,1,1,4.83544e-32,2.45309e-17,-0.231983,0.51215,1.27197,1.01899,4.54392
12,100,0.1,0.2,100,1,500,2,1,0,0.5,2.5,0,1,3,0,0.325739,0.866955,0.139353,0.138254,-0.0042009,0.50754,1.03679,1.02862,1.00435
13,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,1,0,0.954843,0.991087,0.0123919,0.00913111,0.954843,0.991087,0.0123919,0.00913111,7.39778
13,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,2,0,0.954532,0.991075,0.0124772,0.00914275,0.954532,0.991075,0.0124772,0.00914275,7.34588
13,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,0,3,0,0.955179,0.991103,0.0122996,0.00911428,0.955179,0.991103,0.0122996,0.00911428,0.657489
14,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,1,1,0,0.938661,0.990078,0.0123239,0.010132,0.938661,0.990078,0.0123239,0.010132,8.29371
14,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,1,2,0,0.939057,0.990151,0.0122443,0.0100579,0.939057,0.990151,0.0122443,0.0100579,7.07177
14,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,1,1,3,0,0.939952,0.990397,0.0120646,0.00980684,0.939952,0.990397,0.0120646,0.00980684,0.707699
15,100,0.1,0.2,100,1,500,2,1,0.1,0,2.5,0,0,1,0,0.964291,0.990926,0.0177336,0.00966268,0.964291,0.990926,0.0177336,0.00966268,6.75651
