iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2,mse,timeMs
1,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,1,0,1,1,1,-1.55986e-16,9.32266
1,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,1,0,2,1,1,-2.7478e-16,10.342
2,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,1,0,1,0,1,-3.55521e-16,9.49242
2,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,1,0,2,0,1,-5.25829e-16,9.89407
3,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,0,0,1,1,1,-3.1114e-16,9.50719
3,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,0,0,2,1,1,7.23033e-17,9.59918
4,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,0,0,1,0,1,-3.47333e-16,9.42877
4,100,0.1,0.2,100,1,1000,2,1,0,0,2.5,0,0,2,0,1,-4.29032e-16,10.3308
5,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,1,0,1,1,0.623429,0.59375,8.73196
5,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,1,0,2,1,0.623429,0.59375,8.53421
6,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,1,0,1,0,0.589431,0.675,8.3387
6,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,1,0,2,0,0.589431,0.675,8.32343
7,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,0,0,1,1,0.844054,0.179246,8.53666
7,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,0,0,2,1,0.844054,0.179246,8.57491
8,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,0,0,1,0,0.813035,0.235954,8.15732
8,100,0.1,0.2,100,1,1000,2,1,0,0.1,2.5,0,0,2,0,0.813035,0.235954,8.72697
9,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,1,0,1,1,-1.47954,5.0125,7.49822
9,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,1,0,2,1,-1.47954,5.0125,7.87214
10,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,1,0,1,0,-1.53007,5.41875,7.85531
10,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,1,0,2,0,0.436789,1.20625,8.21607
11,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,0,0,1,1,0.677631,0.45087,7.72279
11,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,0,0,2,1,0.677631,0.45087,7.87314
12,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,0,0,1,0,0.691683,0.46571,7.89782
12,100,0.1,0.2,100,1,1000,2,1,0,0.2,2.5,0,0,2,0,0.691683,0.46571,8.09972
13,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,1,0,1,1,0.270482,1.8625,7.82112
13,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,1,0,2,1,-1.11022,5.3875,7.49692
14,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,1,0,1,0,0.355835,1.89375,7.54623
14,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,1,0,2,0,0.355835,1.89375,7.03865
15,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,0,0,1,1,0.590957,0.643673,7.25285
15,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,0,0,2,1,0.590957,0.643673,7.32894
16,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,0,0,1,0,0.56258,0.718016,7.30625
16,100,0.1,0.2,100,1,1000,2,1,0,0.3,2.5,0,0,2,0,0.56258,0.718016,7.94352
17,100,0.1,0.2,100,1,1000,2,1,0,0.4,2.5,1,0,1,1,-1.19488,7.69375,7.09126
