iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,1,0,1,1,1.27908e-30,-1.46549e-16,11.2586
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,2,0,1,1,1.27908e-30,-1.46549e-16,8.97481
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,3,0,1,1,2.15013e-20,3.9968e-17,1.33185
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,1,0,1,1,3.1202e-28,1.09079e-16,8.0435
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,2,0,1,1,4.04367e-31,1.41553e-17,7.09611
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,3,0,1,1,2.20076e-17,-5.4956e-16,0.943843
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,1,0,1,1,2.46801e-31,1.0103e-17,9.27215
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,2,0,1,1,2.37397e-31,-6.66134e-19,8.01488
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,3,0,1,1,1.1073e-23,1.22347e-16,1.10856
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,1,0,1,1,7.50299e-31,-1.83631e-16,7.7672
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,2,0,1,1,2.32357e-31,-2.44249e-16,6.67431
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,3,0,1,1,6.0486e-18,3.84581e-16,1.21084
5,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,1,0,1,1,8.44506e-32,-3.3804e-16,6.93224
5,100,0.1,0.2,100,1,500,2,1,0,0.3,2.5,1,0,2,0,1,1,6.40914e-32,-3.38617e-16,6.086
