iteration,variation,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,mse,timeMs
1,3,100,0.0001,0.2,10,1,20,3,1,0.01,0,1,1,0.000876398,0.350443
2,3,100,0.0001,0.2,10,1,20,3,1,0.01,0,1,0,0.000104422,0.334895
3,3,100,0.0001,0.2,10,1,20,3,1,0.01,0,2,1,0.000195973,0.2786
4,3,100,0.0001,0.2,10,1,20,3,1,0.01,0,2,0,0.000198938,0.285398
5,3,100,0.0001,0.2,10,1,20,3,1,0.01,0.1,1,1,115.717,0.27348
6,3,100,0.0001,0.2,10,1,20,3,1,0.01,0.1,1,0,307.396,1.34162
7,3,100,0.0001,0.2,10,1,20,3,1,0.01,0.1,2,1,0.288403,0.977346
8,3,100,0.0001,0.2,10,1,20,3,1,0.01,0.1,2,0,1.1311,2.37296
9,3,100,0.0001,0.2,10,1,20,3,1,0.1,0,1,1,0.0149605,5.23093
10,3,100,0.0001,0.2,10,1,20,3,1,0.1,0,1,0,65.6052,5.81528
11,3,100,0.0001,0.2,10,1,20,3,1,0.1,0,2,1,0.100513,6.06632
12,3,100,0.0001,0.2,10,1,20,3,1,0.1,0,2,0,0.0195089,6.10222
13,3,100,0.0001,0.2,10,1,20,3,1,0.1,0.1,1,1,0.110319,7.07599
14,3,100,0.0001,0.2,10,1,20,3,1,0.1,0.1,1,0,0.0363808,6.17964
15,3,100,0.0001,0.2,10,1,20,3,1,0.1,0.1,2,1,17.4072,6.88934
16,3,100,0.0001,0.2,10,1,20,3,1,0.1,0.1,2,0,1310.83,6.80549
17,1,100,0.0001,0.2,10,1,20,3,2,0.01,0,1,1,0.000267214,0.117072
17,2,100,0.0001,0.2,10,1,20,3,2,0.01,0,1,1,0.000267214,0.13673
17,3,100,0.0001,0.2,10,1,20,3,2,0.01,0,1,1,0.000143403,0.440794
18,1,100,0.0001,0.2,10,1,20,3,2,0.01,0,1,0,0.00122206,0.408454
18,2,100,0.0001,0.2,10,1,20,3,2,0.01,0,1,0,0.00122206,0.337161
18,3,100,0.0001,0.2,10,1,20,3,2,0.01,0,1,0,0.00220431,0.365636
19,1,100,0.0001,0.2,10,1,20,3,2,0.01,0,2,1,0.00509175,0.405413
19,2,100,0.0001,0.2,10,1,20,3,2,0.01,0,2,1,0.00398648,0.343723
19,3,100,0.0001,0.2,10,1,20,3,2,0.01,0,2,1,0.00667921,0.421912
20,1,100,0.0001,0.2,10,1,20,3,2,0.01,0,2,0,0.00917573,0.625648
20,2,100,0.0001,0.2,10,1,20,3,2,0.01,0,2,0,0.0087462,0.66159
20,3,100,0.0001,0.2,10,1,20,3,2,0.01,0,2,0,0.0109714,0.414947
21,1,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,1,1,0.104183,0.10074
21,2,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,1,1,0.102801,0.091225
21,3,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,1,1,0.103397,0.419234
22,1,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,1,0,0.0895298,0.168473
22,2,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,1,0,0.0892736,0.253527
22,3,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,1,0,0.089831,0.365186
23,1,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,2,1,0.302366,0.090175
23,2,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,2,1,0.302366,0.090411
23,3,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,2,1,0.305118,0.355464
24,1,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,2,0,0.000259282,0.108019
24,2,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,2,0,0.000259282,0.109451
24,3,100,0.0001,0.2,10,1,20,3,2,0.01,0.1,2,0,0.000308942,0.40194
25,1,100,0.0001,0.2,10,1,20,3,2,0.1,0,1,1,0.0247697,1.10088
25,2,100,0.0001,0.2,10,1,20,3,2,0.1,0,1,1,0.0412944,1.18379
25,3,100,0.0001,0.2,10,1,20,3,2,0.1,0,1,1,0.0441768,3.39708
26,1,100,0.0001,0.2,10,1,20,3,2,0.1,0,1,0,0.0269586,1.1232
26,2,100,0.0001,0.2,10,1,20,3,2,0.1,0,1,0,0.265582,1.30689
26,3,100,0.0001,0.2,10,1,20,3,2,0.1,0,1,0,0.0185551,3.30861
27,1,100,0.0001,0.2,10,1,20,3,2,0.1,0,2,1,0.0700379,1.44855
27,2,100,0.0001,0.2,10,1,20,3,2,0.1,0,2,1,0.0700379,1.17633
27,3,100,0.0001,0.2,10,1,20,3,2,0.1,0,2,1,0.0205589,3.87736
28,1,100,0.0001,0.2,10,1,20,3,2,0.1,0,2,0,0.149803,2.02846
28,2,100,0.0001,0.2,10,1,20,3,2,0.1,0,2,0,0.146181,2.16226
28,3,100,0.0001,0.2,10,1,20,3,2,0.1,0,2,0,2.10882,4.3334
29,1,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,1,1,0.23543,1.70634
29,2,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,1,1,0.23543,1.59896
29,3,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,1,1,0.222912,5.4835
30,1,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,1,0,0.105183,1.43832
30,2,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,1,0,0.113083,1.41709
30,3,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,1,0,0.089386,3.98504
31,1,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,2,1,7.49564,2.57462
31,2,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,2,1,605.775,2.88254
31,3,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,2,1,32.39,6.25529
32,1,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,2,0,0.304869,1.41362
32,2,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,2,0,0.188228,1.63719
32,3,100,0.0001,0.2,10,1,20,3,2,0.1,0.1,2,0,0.177833,4.92613
33,3,100,0.0001,0.2,10,1,20,4,1,0.01,0,1,1,0.000982341,1.52208
34,3,100,0.0001,0.2,10,1,20,4,1,0.01,0,1,0,0.000113024,1.46684
35,3,100,0.0001,0.2,10,1,20,4,1,0.01,0,2,1,0.0102694,1.30338
36,3,100,0.0001,0.2,10,1,20,4,1,0.01,0,2,0,0.000686956,1.63249
37,3,100,0.0001,0.2,10,1,20,4,1,0.01,0.1,1,1,0.389174,1.26203
38,3,100,0.0001,0.2,10,1,20,4,1,0.01,0.1,1,0,0.0261446,1.64888
39,3,100,0.0001,0.2,10,1,20,4,1,0.01,0.1,2,1,38.9073,1.36414
40,3,100,0.0001,0.2,10,1,20,4,1,0.01,0.1,2,0,0.844979,2.45722
41,3,100,0.0001,0.2,10,1,20,4,1,0.1,0,1,1,0.0237203,5.68912
42,3,100,0.0001,0.2,10,1,20,4,1,0.1,0,1,0,0.00945618,6.14697
43,3,100,0.0001,0.2,10,1,20,4,1,0.1,0,2,1,0.0186164,5.88577
44,3,100,0.0001,0.2,10,1,20,4,1,0.1,0,2,0,0.167649,6.28313
45,3,100,0.0001,0.2,10,1,20,4,1,0.1,0.1,1,1,190.255,6.31783
46,3,100,0.0001,0.2,10,1,20,4,1,0.1,0.1,1,0,0.0250397,5.86457
47,3,100,0.0001,0.2,10,1,20,4,1,0.1,0.1,2,1,4149.4,6.44465
48,3,100,0.0001,0.2,10,1,20,4,1,0.1,0.1,2,0,4932.5,6.5736
49,3,100,0.0001,0.2,10,1,20,4,2,0.01,0,1,1,0.00534231,0.296767
50,3,100,0.0001,0.2,10,1,20,4,2,0.01,0,1,0,0.00335755,0.599918
51,3,100,0.0001,0.2,10,1,20,4,2,0.01,0,2,1,0.00154307,0.583734
52,3,100,0.0001,0.2,10,1,20,4,2,0.01,0,2,0,0.00019384,0.832691
53,3,100,0.0001,0.2,10,1,20,4,2,0.01,0.1,1,1,1.09174,1.70954
54,3,100,0.0001,0.2,10,1,20,4,2,0.01,0.1,1,0,0.00286997,0.317327
55,3,100,0.0001,0.2,10,1,20,4,2,0.01,0.1,2,1,2.67776,1.21048
56,3,100,0.0001,0.2,10,1,20,4,2,0.01,0.1,2,0,0.451499,1.12523
57,3,100,0.0001,0.2,10,1,20,4,2,0.1,0,1,1,0.0334451,5.57883
58,3,100,0.0001,0.2,10,1,20,4,2,0.1,0,1,0,0.0523641,6.39177
59,3,100,0.0001,0.2,10,1,20,4,2,0.1,0,2,1,0.0170307,6.36295
60,3,100,0.0001,0.2,10,1,20,4,2,0.1,0,2,0,1.41794,6.09519
61,3,100,0.0001,0.2,10,1,20,4,2,0.1,0.1,1,1,0.139327,5.26667
62,3,100,0.0001,0.2,10,1,20,4,2,0.1,0.1,1,0,0.0670734,6.23834
63,3,100,0.0001,0.2,10,1,20,4,2,0.1,0.1,2,1,3019.47,6.1098
64,3,100,0.0001,0.2,10,1,20,4,2,0.1,0.1,2,0,0.644498,7.50832
65,1,100,0.0001,0.2,10,1,20,4,3,0.01,0,1,1,0.00081501,0.135926
65,2,100,0.0001,0.2,10,1,20,4,3,0.01,0,1,1,0.000487399,0.107881
65,3,100,0.0001,0.2,10,1,20,4,3,0.01,0,1,1,0.000751392,0.538886
66,1,100,0.0001,0.2,10,1,20,4,3,0.01,0,1,0,0.000355369,0.153552
66,2,100,0.0001,0.2,10,1,20,4,3,0.01,0,1,0,0.000368192,0.123772
66,3,100,0.0001,0.2,10,1,20,4,3,0.01,0,1,0,0.00135183,0.433967
67,1,100,0.0001,0.2,10,1,20,4,3,0.01,0,2,1,0.000294955,0.135818
67,2,100,0.0001,0.2,10,1,20,4,3,0.01,0,2,1,0.000355508,0.121153
67,3,100,0.0001,0.2,10,1,20,4,3,0.01,0,2,1,0.000397745,0.433899
68,1,100,0.0001,0.2,10,1,20,4,3,0.01,0,2,0,0.000532909,0.13263
68,2,100,0.0001,0.2,10,1,20,4,3,0.01,0,2,0,0.00038453,0.144744
68,3,100,0.0001,0.2,10,1,20,4,3,0.01,0,2,0,0.0014294,0.481012
69,1,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,1,1,3.43049,0.468035
69,2,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,1,1,3.43049,0.890741
69,3,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,1,1,3.33384,0.348481
70,1,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,1,0,0.74736,0.195104
70,2,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,1,0,0.74736,0.101309
70,3,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,1,0,0.736349,0.377574
71,1,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,2,1,0.727558,0.104634
71,2,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,2,1,0.727558,0.107332
71,3,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,2,1,0.725447,0.353169
72,1,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,2,0,0.359303,0.118936
72,2,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,2,0,0.360672,0.112796
72,3,100,0.0001,0.2,10,1,20,4,3,0.01,0.1,2,0,0.353798,0.424149
73,1,100,0.0001,0.2,10,1,20,4,3,0.1,0,1,1,0.0508389,1.15051
73,2,100,0.0001,0.2,10,1,20,4,3,0.1,0,1,1,0.0508389,1.01199
73,3,100,0.0001,0.2,10,1,20,4,3,0.1,0,1,1,0.0482626,3.08846
74,1,100,0.0001,0.2,10,1,20,4,3,0.1,0,1,0,0.0224795,1.61574
74,2,100,0.0001,0.2,10,1,20,4,3,0.1,0,1,0,0.0224795,1.52706
74,3,100,0.0001,0.2,10,1,20,4,3,0.1,0,1,0,0.0313152,4.53432
75,1,100,0.0001,0.2,10,1,20,4,3,0.1,0,2,1,0.796882,2.55663
75,2,100,0.0001,0.2,10,1,20,4,3,0.1,0,2,1,1.56063,2.87872
75,3,100,0.0001,0.2,10,1,20,4,3,0.1,0,2,1,1.17293,3.41963
