iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,mse,timeMs
1,50,0.01,0.2,50,1,1000,3,2,0.01,0,1,1,0,0.000159432,6.092
2,50,0.01,0.2,50,1,1000,3,2,0.01,0,1,0,0,0.000107135,5.59806
3,50,0.01,0.2,50,1,1000,3,2,0.01,0,10,1,0,0.000104438,5.93918
4,50,0.01,0.2,50,1,1000,3,2,0.01,0,10,0,0,0.000113409,5.79763
5,50,0.01,0.2,50,1,1000,3,2,0.01,0.3,1,1,0,0.295604,3.39099
6,50,0.01,0.2,50,1,1000,3,2,0.01,0.3,1,0,0,0.10958,3.79372
7,50,0.01,0.2,50,1,1000,3,2,0.01,0.3,10,1,0,28.3951,3.84066
8,50,0.01,0.2,50,1,1000,3,2,0.01,0.3,10,0,0,10.559,3.17751
9,50,0.01,0.2,50,1,1000,3,2,0.01,0.5,1,1,0,1.05195,3.86815
10,50,0.01,0.2,50,1,1000,3,2,0.01,0.5,1,0,0,0.18393,3.33663
11,50,0.01,0.2,50,1,1000,3,2,0.01,0.5,10,1,0,1.10721,3.57374
12,50,0.01,0.2,50,1,1000,3,2,0.01,0.5,10,0,0,18.0147,3.07604
13,50,0.01,0.2,50,1,1000,3,2,0.3,0,1,1,0,0.133468,3.58322
14,50,0.01,0.2,50,1,1000,3,2,0.3,0,1,0,0,0.107268,3.11754
15,50,0.01,0.2,50,1,1000,3,2,0.3,0,10,1,0,0.155556,4.31823
16,50,0.01,0.2,50,1,1000,3,2,0.3,0,10,0,0,0.256234,4.37647
17,50,0.01,0.2,50,1,1000,3,2,0.3,0.3,1,1,0,1.22409,3.31373
18,50,0.01,0.2,50,1,1000,3,2,0.3,0.3,1,0,0,0.775071,3.50725
19,50,0.01,0.2,50,1,1000,3,2,0.3,0.3,10,1,0,1.83177,2.99303
20,50,0.01,0.2,50,1,1000,3,2,0.3,0.3,10,0,0,1.03448,3.24807
21,50,0.01,0.2,50,1,1000,3,2,0.3,0.5,1,1,0,0.498066,3.14935
22,50,0.01,0.2,50,1,1000,3,2,0.3,0.5,1,0,0,0.384962,3.35236
23,50,0.01,0.2,50,1,1000,3,2,0.3,0.5,10,1,0,1.17227,3.47103
24,50,0.01,0.2,50,1,1000,3,2,0.3,0.5,10,0,0,1.20339,3.12962
25,50,0.01,0.2,50,1,1000,3,2,0.8,0,1,1,0,1.20604,3.16843
26,50,0.01,0.2,50,1,1000,3,2,0.8,0,1,0,0,1.78261,4.88081
27,50,0.01,0.2,50,1,1000,3,2,0.8,0,10,1,0,1.16858,4.91219
28,50,0.01,0.2,50,1,1000,3,2,0.8,0,10,0,0,0.827857,3.54113
29,50,0.01,0.2,50,1,1000,3,2,0.8,0.3,1,1,0,1.36358,3.24598
30,50,0.01,0.2,50,1,1000,3,2,0.8,0.3,1,0,0,0.73237,2.93508
31,50,0.01,0.2,50,1,1000,3,2,0.8,0.3,10,1,0,1.243,3.24019
32,50,0.01,0.2,50,1,1000,3,2,0.8,0.3,10,0,0,1.68797,3.05217
33,50,0.01,0.2,50,1,1000,3,2,0.8,0.5,1,1,0,1.06115,3.05587
34,50,0.01,0.2,50,1,1000,3,2,0.8,0.5,1,0,0,1.17068,3.29228
35,50,0.01,0.2,50,1,1000,3,2,0.8,0.5,10,1,0,1.16308,3.27383
36,50,0.01,0.2,50,1,1000,3,2,0.8,0.5,10,0,0,1.44996,3.00755
37,50,0.01,0.2,50,1,1000,10,2,0.01,0,1,1,0,0.00147661,8.18894
