iteration,maxIt,threshold,trainPct,minInliers,bestModelCount,numPoints,n,d,noise,outlierRatio,outlierStrength,saltAndPepper,metric,variation,weighted_average,r2_regression,r2_orthogonal,mse_regression,mse_orthogonal,timeMs
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,1,0,1,1,5.20776e-31,-2.13607e-16,46.8049
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,2,0,1,1,5.20776e-31,-2.13607e-16,46.6646
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,3,0,1,1,2.24089e-20,1.79412e-16,23.5289
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,3,1,0,1,1,1.0306e-31,-1.19738e-16,43.2532
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,3,2,0,1,1,1.0306e-31,-1.19738e-16,41.3922
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,3,3,0,1,1,2.86473e-17,6.52145e-16,6.33441
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,1,0,1,1,6.20751e-31,1.05471e-17,189.217
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,2,0,1,1,2.62128e-31,1.03251e-17,187.808
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,3,0,1,1,1.3236e-23,-3.24352e-16,11.4691
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,2,1,0,1,1,2.05782e-31,1.93512e-16,199.052
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,2,2,0,1,1,5.60399e-32,1.53433e-16,187.263
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,2,3,0,1,1,5.13835e-18,-1.02585e-16,6.44173
5,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,1,0,1,1,1.26507e-32,-3.04538e-16,47.7935
5,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,2,0,1,1,1.26507e-32,-3.04538e-16,47.5889
5,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,3,0,1,1,1.50535e-17,-1.92102e-16,6.12389
6,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,3,1,0,1,1,6.72517e-32,-1.08403e-16,43.3458
6,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,3,2,0,1,1,6.72517e-32,-1.08403e-16,44.6909
6,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,3,3,0,1,1,6.95066e-18,-6.00237e-17,6.77852
7,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,1,0,1,1,1.12947e-31,-6.33382e-17,189.238
7,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,2,0,1,1,1.03308e-31,-5.16809e-17,189.6
7,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,3,0,1,1,3.11698e-24,-1.27287e-16,7.99787
8,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,2,1,0,1,1,1.46272e-31,-4.03899e-16,194.044
8,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,2,2,0,1,1,1.46272e-31,-4.03899e-16,200.063
8,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,2,3,0,1,1,3.67146e-25,-1.17684e-16,7.91311
9,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,1,1,0,-30.7999,0.635828,31.607,0.575,41.5109
9,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,1,2,0,-30.7999,0.635828,31.607,0.575,39.6757
9,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,1,3,0,0.00843081,0.387801,0.985555,0.966615,11.2141
10,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,3,1,0,-0.440337,0.696582,1.02016,0.3875,39.2925
10,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,3,2,0,-0.440337,0.696582,1.02016,0.3875,37.0253
10,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,3,3,0,-0.0380134,0.682518,0.735202,0.405461,11.4544
11,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,0,1,0,-0.170199,0.597975,1.01485,0.7,163.855
11,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,0,2,0,-0.170199,0.597975,1.01485,0.7,171.671
11,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,0,3,0,-0.0101234,0.585245,0.876028,0.722166,9.53973
12,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,2,1,0,-0.26436,0.602166,0.870279,0.575,171.561
12,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,2,2,0,-0.26436,0.602166,0.870279,0.575,174.835
12,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,2,3,0,-0.0353569,0.60019,0.712652,0.577855,11.8468
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,1,0,1,1,1.04116e-30,-1.43885e-16,200.264
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,2,0,1,1,2.11579e-30,-4.26326e-17,195.239
1,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,0,3,0,1,1,2.09889e-20,3.18856e-16,8.64333
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,1,0,1,1,1.71484e-29,1.15852e-16,211.211
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,2,0,1,1,2.37752e-32,-2.17326e-16,283.324
2,100,0.1,0.2,100,1,500,2,1,0,0,2.5,1,1,3,0,1,1,2.31968e-17,1.84575e-16,6.62464
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,1,0,1,1,6.40876e-31,8.77076e-18,239.571
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,2,0,1,1,1.27588e-29,1.1513e-16,209.05
3,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,0,3,0,1,1,1.51109e-23,-5.27356e-18,8.79984
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,1,0,1,1,2.43185e-31,-2.84994e-16,198.37
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,2,0,1,1,8.07251e-31,-1.33671e-16,-509.467
4,100,0.1,0.2,100,1,500,2,1,0,0,2.5,0,1,3,0,1,1,5.94662e-18,-8.69416e-16,8.84306
5,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,0,1,0,1,1,6.19185e-32,-3.08787e-16,214.588
5,100,0.1,0.2,100,1,500,2,1,0,0.1,2.5,1,0,2,0,1,1,1.91182e-29,1.29578e-16,213.095
